origin_crs,station_name,latitude,longitude,leeds_flag,entries_full,entries_reduced,entries_season,entries_total,exits_full,exits_reduced,exits_season,exits_total,1213_entries_exits,1112_entries_exits
BLE,Bramley (West Yorkshire),53.8055835357,-1.638055876,Y,48182,42667,58892,149741,48182,42667,58892,149741,299482,336538
BUY,Burley Park,53.81218236,-1.57796803046,Y,114167,131125,33325,278617,114167,131125,33325,278617,557234,652976
COT,Cottingley,53.76792361,-1.587717448,Y,18481,12763,16641,47885,18481,12763,16641,47885,95770,97296
CRG,Cross Gates,53.80499369,-1.450747085,Y,75747,73553,77888,227188,75747,73553,77888,227188,454376,499470
EGF,East Garforth,53.79222399,-1.371502856,Y,28633,32979,45514,107126,28633,32979,45514,107126,214252,276228
GRF,Garforth,53.79662395,-1.382492149,Y,99728,104375,101394,305497,99728,104375,101394,305497,610994,676672
GSY,Guiseley,53.87610704,-1.715221208,Y,157191,198585,211504,567280,157191,198585,211504,567280,1134560,961850
HDY,Headingley,53.81793178,-1.593799979,Y,68139,68219,32194,168552,68139,68219,32194,168552,337104,393872
HRS,Horsforth,53.84782887,-1.630245552,Y,156830,175322,147965,480117,156830,175322,147965,480117,960234,961434
LDS,Leeds,53.79483645,-1.545199145,Y,2961094,6127919,4011445,13100458,2961094,6127919,4011445,13100458,26200916,25051436
MIK,Micklefield,53.78878978,-1.32596085053,Y,26131,21868,41528,89527,26131,21868,41528,89527,179054,193288
MLY,Morley,53.74956138,-1.59173116967,Y,52627,54562,44844,152033,52627,54562,44844,152033,304066,347618
NPD,New Pudsey,53.80468579,-1.680300264,Y,115973,118913,131723,366609,115973,118913,131723,366609,733218,796634
WDS,Woodlesford,53.75662082,-1.44282069,Y,55548,44678,45931,146157,55548,44678,45931,146157,292314,345352